Unnamed: 0,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
1,0.00632,18.0,2.31,0,0.538,6.575,0.6416065911431514,4.09,1,296,15.3,396.9,4.98,0.4222222222222222
2,0.02731,0.0,7.07,0,0.469,6.421,0.7826982492276005,4.9671,2,242,17.8,396.9,9.14,0.36888888888888893
3,0.02729,0.0,7.07,0,0.469,7.185,0.5993820803295572,4.9671,2,242,17.8,392.83,4.03,0.66
4,0.03237,0.0,2.18,0,0.458,6.998,0.44181256436663235,6.0622,3,222,18.7,394.63,2.94,0.6311111111111111
5,0.06905,0.0,2.18,0,0.458,7.147,0.5283213182286303,6.0622,3,222,18.7,396.9,5.33,0.6933333333333334
6,0.02985,0.0,2.18,0,0.458,6.43,0.5746652935118435,6.0622,3,222,18.7,394.12,5.21,0.5266666666666666
7,0.08829,12.5,7.87,0,0.524,6.012,0.6560247167868176,5.5605,5,311,15.2,395.6,12.43,0.39777777777777773
8,0.14455,12.5,7.87,0,0.524,6.172,0.9598352214212151,5.9505,5,311,15.2,396.9,19.15,0.4911111111111112
9,0.21124,12.5,7.87,0,0.524,5.631,1.0,6.0821,5,311,15.2,386.63,29.93,0.2555555555555556
10,0.17004,12.5,7.87,0,0.524,6.004,0.8547888774459321,6.5921,5,311,15.2,386.71,17.1,0.3088888888888889
11,0.22489,12.5,7.87,0,0.524,6.377,0.94129763130793,6.3467,5,311,15.2,392.52,20.45,0.22222222222222227
12,0.11747,12.5,7.87,0,0.524,6.009,0.82389289392379,6.2267,5,311,15.2,396.9,13.27,0.3088888888888889
13,0.09378,12.5,7.87,0,0.524,5.889,0.3717816683831102,5.4509,5,311,15.2,390.5,15.71,0.3711111111111111
14,0.62976,0.0,8.14,0,0.538,5.949,0.6065911431513903,4.7075,4,307,21.0,396.9,8.26,0.3422222222222222
15,0.63796,0.0,8.14,0,0.538,6.096,0.8403707518022657,4.4619,4,307,21.0,380.02,10.26,0.29333333333333333
16,0.62739,0.0,8.14,0,0.538,5.834,0.5520082389289392,4.4986,4,307,21.0,395.62,8.47,0.3311111111111111
17,1.05393,0.0,8.14,0,0.538,5.935,0.2718846549948507,4.4986,4,307,21.0,386.85,6.58,0.4022222222222223
18,0.7842,0.0,8.14,0,0.538,5.99,0.811534500514933,4.2579,4,307,21.0,386.75,14.67,0.2777777777777778
19,0.80271,0.0,8.14,0,0.538,5.456,0.34706488156539655,3.7965,4,307,21.0,288.99,11.69,0.3377777777777778
20,0.7258,0.0,8.14,0,0.538,5.727,0.685890834191555,3.7965,4,307,21.0,390.95,11.28,0.29333333333333333
21,1.25179,0.0,8.14,0,0.538,5.57,0.98043254376931,3.7979,4,307,21.0,376.57,21.02,0.19111111111111112
22,0.85204,0.0,8.14,0,0.538,5.965,0.8887744593202884,4.0123,4,307,21.0,392.53,13.83,0.3244444444444445
23,1.23247,0.0,8.14,0,0.538,6.142,0.9145211122554068,3.9769,4,307,21.0,396.9,18.72,0.22666666666666668
24,0.98843,0.0,8.14,0,0.538,5.813,1.0,4.0952,4,307,21.0,394.54,19.88,0.21111111111111114
25,0.75026,0.0,8.14,0,0.538,5.924,0.9392378990731204,4.3996,4,307,21.0,394.33,16.3,0.23555555555555557
26,0.84054,0.0,8.14,0,0.538,5.599,0.8527291452111225,4.4546,4,307,21.0,303.42,16.51,0.19777777777777783
27,0.67191,0.0,8.14,0,0.538,5.813,0.9001029866117405,4.682,4,307,21.0,376.88,14.81,0.25777777777777783
28,0.95577,0.0,8.14,0,0.538,6.047,0.8846549948506693,4.4534,4,307,21.0,306.38,17.28,0.2177777777777778
29,0.77299,0.0,8.14,0,0.538,6.495,0.9423274974253347,4.4547,4,307,21.0,387.94,12.8,0.29777777777777775
30,1.00245,0.0,8.14,0,0.538,6.674,0.8692070030895983,4.239,4,307,21.0,380.23,11.98,0.35555555555555557
31,1.13081,0.0,8.14,0,0.538,5.713,0.9392378990731204,4.233,4,307,21.0,360.17,22.6,0.1711111111111111
32,1.35472,0.0,8.14,0,0.538,6.072,1.0,4.175,4,307,21.0,376.73,13.04,0.21111111111111114
33,1.38799,0.0,8.14,0,0.538,5.95,0.8146240988671473,3.99,4,307,21.0,232.6,27.71,0.18222222222222223
34,1.15172,0.0,8.14,0,0.538,5.701,0.9485066941297631,3.7872,4,307,21.0,358.77,18.35,0.18
35,1.61282,0.0,8.14,0,0.538,6.096,0.9680741503604532,3.7598,4,307,21.0,248.31,20.34,0.18888888888888888
36,0.06417,0.0,5.96,0,0.499,5.933,0.6725025746652935,3.3603,5,279,19.2,396.9,9.68,0.3088888888888889
37,0.09744,0.0,5.96,0,0.499,5.841,0.6024716786817713,3.3779,5,279,19.2,377.56,11.41,0.33333333333333337
38,0.08014,0.0,5.96,0,0.499,5.85,0.39752832131822863,3.9342,5,279,19.2,396.9,8.77,0.35555555555555557
39,0.17505,0.0,5.96,0,0.499,5.966,0.28115345005149334,3.8473,5,279,19.2,393.43,10.13,0.43777777777777777
40,0.02763,75.0,2.95,0,0.428,6.595,0.1946446961894954,5.4011,3,252,18.3,395.63,4.32,0.5733333333333334
41,0.03359,75.0,2.95,0,0.428,7.024,0.13285272914521115,5.4011,3,252,18.3,395.62,1.98,0.6644444444444444
42,0.12744,0.0,6.91,0,0.448,6.77,0.0,5.7209,3,233,17.9,385.41,4.84,0.48000000000000004
43,0.1415,0.0,6.91,0,0.448,6.169,0.03810504634397528,5.7209,3,233,17.9,383.37,5.81,0.4511111111111112
44,0.15936,0.0,6.91,0,0.448,6.211,0.03707518022657055,5.7209,3,233,17.9,394.46,7.44,0.43777777777777777
45,0.12269,0.0,6.91,0,0.448,6.069,0.3820803295571576,5.7209,3,233,17.9,389.39,9.55,0.36
46,0.17142,0.0,6.91,0,0.448,5.682,0.31822863027806386,5.1004,3,233,17.9,396.9,10.21,0.3177777777777778
47,0.18836,0.0,6.91,0,0.448,5.786,0.31307929969104015,5.1004,3,233,17.9,396.9,14.15,0.33333333333333337
48,0.22927,0.0,6.91,0,0.448,6.03,0.850669412976313,5.6894,3,233,17.9,392.74,18.8,0.25777777777777783
49,0.25387,0.0,6.91,0,0.448,5.399,0.9515962924819773,5.87,3,233,17.9,396.9,30.81,0.2088888888888889
50,0.21977,0.0,6.91,0,0.448,5.602,0.6086508753861998,6.0877,3,233,17.9,396.9,16.2,0.32
51,0.08873,21.0,5.64,0,0.439,5.963,0.44078269824922767,6.8147,4,243,16.8,395.56,13.45,0.32666666666666666
52,0.04337,21.0,5.64,0,0.439,6.115,0.6189495365602471,6.8147,4,243,16.8,393.97,9.43,0.34444444444444444
53,0.0536,21.0,5.64,0,0.439,6.511,0.18743563336766222,6.8147,4,243,16.8,396.9,5.28,0.4444444444444445
54,0.04981,21.0,5.64,0,0.439,5.998,0.19052523171987643,6.8147,4,243,16.8,396.9,8.43,0.4088888888888889
55,0.0136,75.0,4.0,0,0.41,5.888,0.4603501544799177,7.3197,3,469,21.1,396.9,14.8,0.3088888888888889
56,0.01311,90.0,1.22,0,0.403,7.249,0.1956745623069001,8.6966,5,226,17.9,395.93,4.81,0.6755555555555555
57,0.02055,85.0,0.74,0,0.41,6.383,0.3377960865087539,9.1876,2,313,17.3,396.9,5.77,0.43777777777777777
58,0.01432,100.0,1.32,0,0.411,6.816,0.3872296601441813,8.3248,5,256,15.1,392.9,3.95,0.5911111111111111
59,0.15445,25.0,5.13,0,0.453,6.145,0.27085478887744596,7.8148,8,284,19.7,390.68,6.86,0.4066666666666667
60,0.10328,25.0,5.13,0,0.453,5.927,0.4562306900102987,6.932,8,284,19.7,396.9,9.22,0.3244444444444445
61,0.14932,25.0,5.13,0,0.453,5.741,0.6519052523171988,7.2254,8,284,19.7,395.11,13.15,0.30444444444444446
62,0.17171,25.0,5.13,0,0.453,5.966,0.9320288362512874,6.8185,8,284,19.7,378.08,14.44,0.24444444444444446
63,0.11027,25.0,5.13,0,0.453,6.456,0.6683831101956745,7.2255,8,284,19.7,396.9,6.73,0.38222222222222224
64,0.1265,25.0,5.13,0,0.453,6.762,0.41709577754891863,7.9809,8,284,19.7,395.58,9.5,0.4444444444444445
65,0.01951,17.5,1.38,0,0.4161,7.104,0.5829042224510813,9.2229,3,216,18.6,393.24,8.05,0.6222222222222222
66,0.03584,80.0,3.37,0,0.398,6.29,0.1534500514933059,6.6115,4,337,16.1,396.9,4.67,0.41111111111111115
67,0.04379,80.0,3.37,0,0.398,5.787,0.29042224510813597,6.6115,4,337,16.1,396.9,10.24,0.32
68,0.05789,12.5,6.07,0,0.409,5.878,0.19052523171987643,6.498,4,345,18.9,396.21,8.1,0.3777777777777778
69,0.13554,12.5,6.07,0,0.409,5.594,0.349124613800206,6.498,4,345,18.9,396.9,13.09,0.27555555555555555
70,0.12816,12.5,6.07,0,0.409,5.885,0.309989701338826,6.498,4,345,18.9,396.9,8.79,0.35333333333333333
71,0.08826,0.0,10.81,0,0.413,6.417,0.03810504634397528,5.2873,4,305,19.2,383.73,6.72,0.4266666666666667
72,0.15876,0.0,10.81,0,0.413,5.961,0.15036045314109167,5.2873,4,305,19.2,376.94,9.88,0.3711111111111111
73,0.09164,0.0,10.81,0,0.413,6.065,0.05046343975283214,5.2873,4,305,19.2,390.91,5.52,0.3955555555555556
74,0.19539,0.0,10.81,0,0.413,6.245,0.03398558187435634,5.2873,4,305,19.2,377.17,7.54,0.4088888888888889
75,0.07896,0.0,12.83,0,0.437,6.273,0.031925849639546866,4.2515,5,398,18.7,394.92,6.78,0.42444444444444446
76,0.09512,0.0,12.83,0,0.437,6.286,0.43357363542739447,4.5026,5,398,18.7,383.23,8.94,0.36444444444444446
77,0.10153,0.0,12.83,0,0.437,6.279,0.737384140061792,4.0522,5,398,18.7,373.66,11.97,0.33333333333333337
78,0.08707,0.0,12.83,0,0.437,6.14,0.44181256436663235,4.0905,5,398,18.7,386.96,10.27,0.35111111111111115
79,0.05646,0.0,12.83,0,0.437,6.232,0.5231719876416066,5.0141,5,398,18.7,386.4,12.34,0.36
80,0.08387,0.0,12.83,0,0.437,5.874,0.34706488156539655,4.5026,5,398,18.7,396.06,9.1,0.34
81,0.04113,25.0,4.86,0,0.426,6.727,0.31513903192584963,5.4007,4,281,19.0,396.9,5.29,0.5111111111111111
82,0.04462,25.0,4.86,0,0.426,6.619,0.6951596292481977,5.4007,4,281,19.0,395.63,7.22,0.42
83,0.03659,25.0,4.86,0,0.426,6.302,0.3017507723995881,5.4007,4,281,19.0,396.9,6.72,0.44
84,0.03551,25.0,4.86,0,0.426,6.167,0.45108135942327504,5.4007,4,281,19.0,390.64,7.51,0.39777777777777773
85,0.05059,0.0,4.49,0,0.449,6.389,0.4644696189495366,4.7794,3,247,18.5,396.9,9.62,0.42
86,0.05735,0.0,4.49,0,0.449,6.63,0.5478887744593203,4.4377,3,247,18.5,392.3,6.53,0.48000000000000004
87,0.05188,0.0,4.49,0,0.449,6.015,0.4346035015447992,4.4272,3,247,18.5,395.99,12.86,0.3888888888888889
88,0.07151,0.0,4.49,0,0.449,6.121,0.5550978372811534,3.7476,3,247,18.5,395.15,8.44,0.38222222222222224
89,0.0566,0.0,3.41,0,0.489,7.007,0.858908341915551,3.4217,2,270,17.8,396.9,5.5,0.4133333333333334
90,0.05302,0.0,3.41,0,0.489,7.079,0.619979402677652,3.4145,2,270,17.8,396.06,5.7,0.5266666666666666
91,0.04684,0.0,3.41,0,0.489,6.417,0.6508753861997939,3.0923,2,270,17.8,392.18,8.81,0.39111111111111113
92,0.03932,0.0,3.41,0,0.489,6.405,0.7312049433573636,3.0921,2,270,17.8,393.55,8.2,0.3777777777777778
93,0.04203,28.0,15.04,0,0.464,6.442,0.5221421215242018,3.6659,4,270,18.2,395.01,8.16,0.39777777777777773
94,0.02875,28.0,15.04,0,0.464,6.211,0.26776519052523173,3.6659,4,270,18.2,396.33,6.21,0.4444444444444445
95,0.04294,28.0,15.04,0,0.464,6.249,0.7662203913491246,3.615,4,270,18.2,396.9,10.59,0.34666666666666673
96,0.12204,0.0,2.89,0,0.445,6.625,0.5653964984552008,3.4952,2,276,18.0,357.98,6.65,0.5199999999999999
97,0.11504,0.0,2.89,0,0.445,6.163,0.6869207003089598,3.4952,2,276,18.0,391.83,11.34,0.36444444444444446
98,0.12083,0.0,2.89,0,0.445,8.069,0.752832131822863,3.4952,2,276,18.0,396.9,4.21,0.7488888888888889
99,0.08187,0.0,2.89,0,0.445,7.82,0.35015447991761073,3.4952,2,276,18.0,393.53,3.57,0.8622222222222221
100,0.0686,0.0,2.89,0,0.445,7.416,0.6138002059732235,3.4952,2,276,18.0,396.9,6.19,0.6266666666666667
101,0.14866,0.0,8.56,0,0.52,6.727,0.7929969104016479,2.7778,5,384,20.9,394.76,9.42,0.5
102,0.11432,0.0,8.56,0,0.52,6.781,0.7044284243048403,2.8561,5,384,20.9,395.58,7.67,0.4777777777777778
103,0.22876,0.0,8.56,0,0.52,6.405,0.8496395468589084,2.7147,5,384,20.9,70.8,10.63,0.3022222222222223
104,0.21161,0.0,8.56,0,0.52,6.137,0.8702368692070032,2.7147,5,384,20.9,394.47,13.44,0.3177777777777778
105,0.1396,0.0,8.56,0,0.52,6.167,0.8970133882595263,2.421,5,384,20.9,392.69,12.33,0.3355555555555556
106,0.13262,0.0,8.56,0,0.52,5.851,0.9660144181256437,2.1069,5,384,20.9,394.05,16.47,0.32222222222222224
107,0.1712,0.0,8.56,0,0.52,5.836,0.9165808444902164,2.211,5,384,20.9,395.67,18.66,0.32222222222222224
108,0.13117,0.0,8.56,0,0.52,6.127,0.8475798146240989,2.1224,5,384,20.9,387.69,14.09,0.3422222222222222
109,0.12802,0.0,8.56,0,0.52,6.474,0.9701338825952626,2.4329,5,384,20.9,395.24,12.27,0.32888888888888895
110,0.26363,0.0,8.56,0,0.52,6.229,0.9093717816683832,2.5451,5,384,20.9,391.23,15.55,0.32
111,0.10793,0.0,8.56,0,0.52,6.195,0.5303810504634398,2.7778,5,384,20.9,393.49,13.0,0.3711111111111111
112,0.10084,0.0,10.01,0,0.547,6.715,0.8105046343975283,2.6775,6,432,17.8,395.59,10.16,0.3955555555555556
113,0.12329,0.0,10.01,0,0.547,5.913,0.9268795056642637,2.3534,6,432,17.8,394.95,16.21,0.3066666666666667
114,0.22212,0.0,10.01,0,0.547,6.092,0.9526261585993822,2.548,6,432,17.8,396.9,17.09,0.30444444444444446
115,0.14231,0.0,10.01,0,0.547,6.254,0.8372811534500515,2.2565,6,432,17.8,388.74,10.45,0.30000000000000004
116,0.17134,0.0,10.01,0,0.547,5.928,0.878475798146241,2.4631,6,432,17.8,344.91,15.76,0.29555555555555557
117,0.13158,0.0,10.01,0,0.547,6.176,0.7167868177136972,2.7301,6,432,17.8,393.3,12.04,0.36
118,0.15098,0.0,10.01,0,0.547,6.021,0.8208032955715756,2.7474,6,432,17.8,394.51,10.3,0.3155555555555556
119,0.13058,0.0,10.01,0,0.547,5.872,0.7229660144181256,2.4775,6,432,17.8,338.63,15.37,0.3422222222222222
120,0.14476,0.0,10.01,0,0.547,5.731,0.6416065911431514,2.7592,6,432,17.8,391.5,13.61,0.3177777777777778
121,0.06899,0.0,25.65,0,0.581,5.87,0.6879505664263645,2.2577,2,188,19.1,389.15,14.37,0.3777777777777778
122,0.07165,0.0,25.65,0,0.581,6.004,0.8362512873326466,2.1974,2,188,19.1,377.67,14.27,0.34
123,0.09299,0.0,25.65,0,0.581,5.961,0.9268795056642637,2.0869,2,188,19.1,378.09,17.93,0.34444444444444444
124,0.15038,0.0,25.65,0,0.581,5.856,0.9691040164778579,1.9444,2,188,19.1,370.31,25.41,0.2733333333333334
125,0.09849,0.0,25.65,0,0.581,5.879,0.956745623069001,2.0063,2,188,19.1,379.38,17.58,0.3066666666666667
126,0.16902,0.0,25.65,0,0.581,5.986,0.8805355303810505,1.9929,2,188,19.1,385.02,14.81,0.36444444444444446
127,0.38735,0.0,25.65,0,0.581,5.613,0.9546858908341915,1.7572,2,188,19.1,359.29,27.26,0.23777777777777775
128,0.25915,0.0,21.89,0,0.624,5.693,0.9588053553038105,1.7883,4,437,21.2,392.11,17.19,0.24888888888888888
129,0.32543,0.0,21.89,0,0.624,6.431,0.9876416065911431,1.8125,4,437,21.2,396.9,15.39,0.2888888888888889
130,0.88125,0.0,21.89,0,0.624,5.637,0.945417095777549,1.9799,4,437,21.2,396.9,18.34,0.20666666666666672
131,0.34006,0.0,21.89,0,0.624,6.458,0.9886714727085479,2.1185,4,437,21.2,395.04,12.6,0.3155555555555556
132,1.19294,0.0,21.89,0,0.624,6.326,0.976313079299691,2.271,4,437,21.2,396.9,12.26,0.3244444444444445
133,0.59005,0.0,21.89,0,0.624,6.372,0.9783728115345005,2.3274,4,437,21.2,385.76,11.12,0.4000000000000001
134,0.32982,0.0,21.89,0,0.624,5.822,0.9526261585993822,2.4699,4,437,21.2,388.69,15.03,0.29777777777777775
135,0.97617,0.0,21.89,0,0.624,5.757,0.9835221421215243,2.346,4,437,21.2,262.76,17.31,0.23555555555555557
136,0.55778,0.0,21.89,0,0.624,6.335,0.9814624098867148,2.1107,4,437,21.2,394.67,16.96,0.29111111111111115
137,0.32264,0.0,21.89,0,0.624,5.942,0.933058702368692,1.9669,4,437,21.2,378.25,16.9,0.27555555555555555
138,0.35233,0.0,21.89,0,0.624,6.454,0.9835221421215243,1.8498,4,437,21.2,394.08,14.59,0.26888888888888896
139,0.2498,0.0,21.89,0,0.624,5.857,0.9814624098867148,1.6686,4,437,21.2,392.04,21.32,0.18444444444444447
140,0.54452,0.0,21.89,0,0.624,6.151,0.9783728115345005,1.6687,4,437,21.2,396.9,18.46,0.2844444444444445
141,0.2909,0.0,21.89,0,0.624,6.174,0.9340885684860968,1.6119,4,437,21.2,388.08,24.16,0.2
142,1.62864,0.0,21.89,0,0.624,5.019,1.0,1.4394,4,437,21.2,396.9,34.41,0.2088888888888889
143,3.32105,0.0,19.58,1,0.871,5.403,1.0,1.3216,5,403,14.7,396.9,26.82,0.1866666666666667
144,4.0974,0.0,19.58,0,0.871,5.468,1.0,1.4118,5,403,14.7,396.9,26.42,0.23555555555555557
145,2.77974,0.0,19.58,0,0.871,4.903,0.9773429454170957,1.3459,5,403,14.7,396.9,29.29,0.15111111111111114
146,2.37934,0.0,19.58,0,0.871,6.13,1.0,1.4191,5,403,14.7,172.91,27.8,0.1955555555555556
147,2.15505,0.0,19.58,0,0.871,5.628,1.0,1.5166,5,403,14.7,169.27,16.65,0.23555555555555557
148,2.36862,0.0,19.58,0,0.871,4.926,0.9557157569515963,1.4608,5,403,14.7,391.71,29.53,0.21333333333333332
149,2.33099,0.0,19.58,0,0.871,5.186,0.9361483007209063,1.5296,5,403,14.7,356.99,28.32,0.2844444444444445
150,2.73397,0.0,19.58,0,0.871,5.597,0.9474768280123584,1.5257,5,403,14.7,351.85,21.45,0.23111111111111116
151,1.6566,0.0,19.58,0,0.871,6.122,0.972193614830072,1.618,5,403,14.7,372.8,14.1,0.3666666666666667
152,1.49632,0.0,19.58,0,0.871,5.404,1.0,1.5916,5,403,14.7,341.6,13.28,0.3244444444444445
153,1.12658,0.0,19.58,1,0.871,5.012,0.8764160659114315,1.6102,5,403,14.7,343.28,12.12,0.22888888888888892
154,2.14918,0.0,19.58,0,0.871,5.709,0.984552008238929,1.6232,5,403,14.7,261.95,15.79,0.32
155,1.41385,0.0,19.58,1,0.871,6.129,0.9588053553038105,1.7494,5,403,14.7,321.02,15.12,0.26666666666666666
156,3.53501,0.0,19.58,1,0.871,6.152,0.8208032955715756,1.7455,5,403,14.7,88.01,15.02,0.23555555555555557
157,2.44668,0.0,19.58,0,0.871,5.272,0.9382080329557158,1.7364,5,403,14.7,88.63,16.14,0.18
158,1.22358,0.0,19.58,0,0.605,6.943,0.9732234809474769,1.8773,5,403,14.7,363.43,4.59,0.8066666666666666
159,1.34284,0.0,19.58,0,0.605,6.066,1.0,1.7573,5,403,14.7,353.89,6.43,0.42888888888888893
160,1.42502,0.0,19.58,0,0.871,6.51,1.0,1.7659,5,403,14.7,364.31,7.39,0.4066666666666667
161,1.27346,0.0,19.58,1,0.605,6.25,0.9237899073120494,1.7984,5,403,14.7,338.92,5.5,0.4888888888888889
162,1.46336,0.0,19.58,0,0.605,7.489,0.9052523171987641,1.9709,5,403,14.7,374.43,1.73,1.0
163,1.83377,0.0,19.58,1,0.605,7.802,0.9814624098867148,2.0407,5,403,14.7,389.61,1.92,1.0
164,1.51902,0.0,19.58,1,0.605,8.375,0.9371781668383111,2.162,5,403,14.7,388.45,3.32,1.0
165,2.24236,0.0,19.58,0,0.605,5.854,0.9155509783728115,2.422,5,403,14.7,395.11,11.64,0.39333333333333337
166,2.924,0.0,19.58,0,0.605,6.101,0.9279093717816684,2.2834,5,403,14.7,240.16,9.81,0.4444444444444445
167,2.01019,0.0,19.58,0,0.605,7.929,0.96086508753862,2.0459,5,403,14.7,369.3,3.7,1.0
168,1.80028,0.0,19.58,0,0.605,5.877,0.7857878475798147,2.4259,5,403,14.7,227.61,12.14,0.41777777777777786
